,Items,English Name,Naming latency,H value,Percentage name agreement,Image agreement,Familiarity,Visual comlexity,AOA,Word frequency,Imageability, Syllable number,Phoneme number,
1,hævapeyma,airplane,768.38,0.08,99,4.07,3.94,2.42,4.13,629,4.28,4,9,
2,temsah,alligator,917.38,1.11,55,3.91,3.15,2.56,5.88,16,3.54,2,6,
3,længær,anchor,1088.71,0.54,71,3.93,2.80,2.38,7.15,25,2.85,2,6,
4,murçe,ant,962.80,0.00,100,4.29,4.63,2.60,3.16,17,4.46,2,5,
5,sib,apple,740.83,0.00,100,4.13,4.84,1.43,2.71,153,4.84,1,3,
6,?asigari,ashtray,1170.53,1.03,39,3.00,3.18,2.66,6.83,0,3.34,4,8,
7,tæbær,axe,931.73,0.04,97,4.33,3.56,1.63,5.76,13,3.37,2,5,
8,kaleske,baby carriage,1002.39,0.30,94,4.22,3.72,2.76,4.99,127,3.43,3,7,
9,tup,ball,872.00,0.15,89,3.69,4.48,1.94,2.33,318,4.78,1,3,
10,badkonæk,balloon,870.62,0.03,98,4.74,4.59,1.35,2.76,17,4.55,3,8,
11,moz,banana,666.04,0.00,100,4.66,4.78,1.63,3.27,33,4.82,1,3,
12,bo?ke,barrel,1063.77,0.22,92,4.07,3.31,2.45,6.27,485,3.45,2,5,
13,sæbæd,basket,851.34,0.17,96,3.71,4.00,2.48,5.01,0,3.88,2,5,
14,?ers,bear,879.45,0.01,99,4.32,3.28,2.59,5.25,37,3.76,1,4,
15,tæ?te?ab,bed,850.78,0.01,99,4.43,4.70,2.14,3.59,35,4.42,3,8,
16,zænbur,bee,1174.14,0.52,43,3.04,3.83,3.58,4.25,30,3.94,2,6,
17,susk,beetle,1020.68,0.29,77,2.92,3.66,3.14,4.60,10,4.03,1,4,
18,zængule,bell,866.29,1.05,64,4.25,3.63,2.11,4.96,6,3.43,3,7,
19,kæmærbænd,belt,851.05,0.12,96,4.33,4.50,1.84,4.60,88,4.12,3,9,
20,doçær?e,bicycle,719.51,0.00,100,4.48,4.66,2.53,4.21,104,4.30,3,7,
21,gon?e?k,bird,1023.19,1.22,76,3.92,4.36,2.37,3.87,17,4.30,2,7,
22,ketab,book,703.15,0.00,100,4.62,4.88,1.80,3.54,5264,4.90,2,5,
23,çækme,boot,1016.46,1.45,66,4.04,4.04,2.07,5.07,15,3.82,2,5,
24,botri,bottle,946.89,0.24,96,3.95,4.50,1.86,4.39,66,3.79,2,5,
25,kase,bowl,837.96,0.08,99,4.13,4.66,1.61,3.42,75,4.33,2,4,
26,?utubus,bus,851.93,0.10,98,4.20,4.74,2.73,4.64,418,4.49,3,7,
27,dokme,button,948.92,0.07,95,4.18,4.65,1.77,4.28,38,4.19,2,5,
28,?æ?be,box,971.65,0.39,90,3.63,4.11,2.00,4.68,110,3.94,2,5,
29,?aru,broom,979.64,0.07,95,3.60,4.14,2.21,4.35,35,4.04,2,4,
30,pærvane,butterfly,745.75,0.00,100,4.37,4.19,2.47,4.04,324,4.09,3,7,
31,keyk,cake,777.75,0.00,100,4.06,4.47,2.27,3.48,40,4.49,1,4,
32,?otor,camel,847.89,0.01,99,4.41,3.60,2.59,5.34,60,3.97,2,5,
33,?æm,candle,686.34,0.00,100,4.40,4.29,1.85,4.17,98,4.22,1,3,
34,kolah,cap,779.61,0.10,98,3.63,4.11,2.32,3.76,131,4.13,2,5,
35,ma?in,car,784.23,0.81,80,4.22,4.74,2.64,3.12,537,4.64,2,5,
36,hævi?,carrot,754.74,0.00,100,4.57,4.53,1.78,3.52,37,4.52,2,5,
37,gorbe,cat,788.43,0.08,99,4.27,4.51,2.50,2.93,82,4.34,2,5,
38,zæn?ir,chain,845.69,0.01,99,4.19,3.82,2.20,5.35,73,3.28,2,6,
39,sændæli,chair,751.12,0.00,100,4.42,4.77,1.92,3.33,282,4.39,3,7,
40,morq,chiken,951.23,0.08,94,4.26,3.96,2.51,3.37,276,4.48,1,4,
41,sigar,cigarette,759.90,0.01,99,4.60,3.90,1.63,5.37,458,4.04,2,5,
42,gire,clothespin,1040.77,0.01,99,4.35,4.45,2.21,5.11,10,3.01,2,4,
43,?æbr,cloud,970.59,0.40,66,3.12,4.07,2.32,3.86,206,4.34,1,4,
44,palto,coat,1118.88,1.84,48,3.63,4.16,2.17,5.22,17,4.09,2,5,
45,?ane,comb,800.84,0.00,100,4.28,4.62,1.80,3.32,110,4.12,2,4,
46,zoræt,corn,929.94,0.92,66,4.45,4.00,2.36,4.97,61,3.76,2,5,
47,mobl,couch,1074.28,0.86,77,3.92,4.52,2.24,4.76,19,4.25,1,4,
48,gav,cow,949.53,0.00,100,4.41,3.74,2.74,3.86,185,4.52,1,3,
49,fen?an,cup,937.51,0.06,96,4.17,4.47,1.87,4.31,26,4.28,2,6,
50,gævæzn,deer,949.71,0.07,95,4.11,3.07,2.76,6.02,10,3.30,2,6,
51,sæg,dog,777.29,0.01,99,3.83,4.02,2.24,3.56,177,4.28,1,3,
52,?ærusæk,doll,853.73,0.16,88,3.75,4.14,2.61,2.59,43,4.28,3,7,
53,?olaq,donkey,1074.85,0.90,68,4.10,3.50,2.57,4.20,17,3.91,2,5,
54,dær,door,773.25,0.00,100,4.42,4.68,1.96,2.82,951,4.64,1,3,
55,mahi,fish,739.16,0.00,100,4.39,4.40,2.22,3.38,541,4.49,2,4,
56,tæbl,drum,1067.52,0.38,68,3.43,2.96,2.83,5.00,44,3.46,1,4,
57,?ordæk,duck,1016.92,0.61,84,4.03,3.45,2.54,4.74,18,3.54,2,6,
58,?oqab,eagle,1060.82,0.07,95,3.99,3.06,2.82,6.19,56,3.55,2,5,
59,gu?,ear,770.87,0.01,99,4.51,4.77,2.02,2.78,978,4.58,1,3,
60,fil,elephent,759.30,0.00,100,4.40,3.27,2.57,4.73,90,3.93,1,3,
61,pakæt,envelope,840.68,0.47,90,4.59,4.25,1.54,5.58,119,3.85,2,5,
62,çe?m,eye,696.25,0.00,100,4.25,4.70,2.40,2.85,2237,4.70,1,4,
63,nærde,fence,978.32,0.53,89,4.13,3.55,2.03,5.44,6,3.31,2,5,
64,?ængo?t ,finger,902.06,0.01,99,4.36,4.73,2.10,3.08,173,4.67,2,7,
65,dæstgire,doorknob,1385.47,0.61,75,3.49,4.20,2.54,4.76,7,3.87,3,8,
66,pærçæm,flag,851.63,0.00,100,3.90,3.93,1.86,5.30,295,3.94,2,6,
67,gol,flower,734.91,0.00,100,4.34,4.68,2.03,3.10,1562,4.63,1,3,
68,mægæs,fly,1029.56,0.32,74,4.13,4.35,2.63,3.94,53,3.99,2,5,
69,do?a?e,plug,1241.48,0.57,66,3.45,4.14,2.56,5.41,0,3.07,3,6,
70,kolah kasket,footbal helmet,1179.69,1.46,50,3.61,3.19,2.82,7.27,0,3.30,4,11,
71,çængal,fork,800.02,0.00,100,4.71,4.83,1.73,3.30,51,4.37,2,6,
72,rubah,fox,971.84,0.08,94,4.21,3.35,2.56,5.46,39,3.64,2,5,
73,qurbaqe,frog,872.30,0.24,96,4.13,3.50,2.46,4.83,38,3.87,3,7,
74,mahitabe,frying pan,983.49,0.03,98,3.77,4.33,2.13,5.43,10,4.27,4,8,
75,sætle zobale,garbage can,820.68,0.99,66,4.08,4.35,2.14,4.27,23,4.18,5,11,
76,zærafe,giraffe,831.05,0.00,100,4.58,3.35,2.54,5.52,3,3.51,3,6,
77,livan,glass,707.96,0.00,100,4.50,4.81,1.44,2.89,101,4.66,2,5,
78,?eynæk,glassess,684.16,0.00,100,4.39,4.54,1.82,4.23,109,4.67,2,6,
79,dæstke?,glove,811.72,0.01,99,4.23,4.07,2.16,4.43,30,4.16,2,7,
80,boz,goat,1077.86,0.14,95,3.89,3.34,2.61,4.79,64,3.63,1,3,
81,guril,gorilla,1046.54,0.37,80,4.07,2.92,2.80,6.68,4,2.81,2,5,
82,?ængur,grapes,767.58,0.00,100,4.42,4.29,2.18,3.81,103,4.31,2,6,
83,mælæ?,grasshopper,1049.33,0.07,95,4.17,3.51,2.79,5.57,24,3.43,2,5,
84,gitar,guitar,856.54,0.06,96,4.43,3.66,2.35,8.54,28,3.99,2,5,
85,tofæng,gun,812.45,1.05,78,4.37,3.43,2.46,5.21,90,4.04,2,6,
86,mu,hair,971.75,0.04,97,3.77,4.73,1.91,2.62,165,4.60,1,2,
87,çæko?,hammer,978.99,0.22,94,4.33,3.80,1.99,5.06,13,3.90,2,5,
88,dælqæk,clown,1050.27,0.20,95,4.23,3.23,3.10,6.64,9,4.00,2,6,
89,çublebasi,hanger,1222.69,2.08,29,4.40,4.52,1.48,6.04,5,3.76,4,9,
90,qælb,heart,754.52,0.00,100,4.08,4.36,1.48,5.78,923,4.07,1,4,
91,helikopter,helicopter,900.04,0.24,94,4.11,3.53,2.75,5.85,135,3.64,4,10,
92,?æsb,horse,822.46,0.01,99,4.51,3.98,2.40,4.31,269,3.99,1,4,
93,?ane,house,799.43,0.16,98,4.12,4.77,2.45,3.15,3102,4.54,2,4,
94,?utu,iron,810.39,0.00,100,3.76,4.54,2.50,5.26,18,3.24,2,4,
95,?ærçæng,lobster,1201.45,0.31,75,3.82,3.19,2.90,6.85,4,4.19,2,7,
96,ketri,kettle,944.26,0.00,100,4.20,4.50,2.02,4.72,6,4.12,2,5,
97,kelid,key,780.09,0.00,100,4.53,4.68,1.90,4.11,316,4.36,2,5,
98,badbadæk,kite,909.68,0.12,96,4.41,3.78,1.97,4.49,10,4.03,3,8,
99,çaqu,knife,929.88,0.82,74,3.74,4.62,1.83,3.67,130,4.48,2,4,
100,nærdeban,ladder,887.95,0.03,98,4.10,4.03,1.85,4.88,26,3.79,3,8,
101,bærg,leaf,764.41,0.00,100,4.43,4.48,1.97,4.14,571,4.36,1,4,
102,limu,lemon,911.76,0.08,94,4.28,4.20,1.63,4.62,29,4.18,2,4,
103,pælæng,leopard,1122.90,0.51,48,3.97,3.23,2.73,5.88,24,3.43,2,6,
104,lamp,lamp,741.72,0.00,100,4.58,4.57,2.07,4.19,43,4.33,1,4,
105,mi?,nail,832.42,0.00,100,4.54,4.20,1.43,4.82,19,4.06,1,3,
106,?ir,lion,860.04,0.01,99,4.22,3.35,2.66,4.80,790,3.64,1,3,
107,lab,lips,783.15,0.00,100,4.22,4.71,1.74,3.11,254,4.52,1,3,
108,mize ?utu,ironing board,1139.62,0.65,83,4.20,4.00,2.19,6.28,0,3.66,4,8,
109,qofl,lock,923.69,0.01,99,4.40,4.19,1.93,5.04,68,4.00,1,4,
110,meymun,monkey,937.78,0.08,94,3.69,3.30,2.55,5.11,55,3.87,2,6,
111,mah,moon,742.08,0.00,100,4.07,4.38,1.54,3.78,6264,4.57,1,3,
112,motor,motorcycle,811.57,0.00,100,4.27,4.20,3.07,4.45,386,3.96,2,5,
113,kuh,mountain,811.61,0.14,98,4.29,4.36,1.88,4.21,463,4.52,1,3,
114,mu?,mouse,748.47,0.00,100,4.44,3.76,2.17,4.10,77,3.90,1,3,
115,qarç,mushroom,871.81,0.00,100,3.87,3.98,2.28,6.20,49,3.88,1,4,
116,kelide bærq,light switch,1179.67,0.94,68,3.14,4.05,2.53,5.26,0,3.90,4,10,
117,gærdænbænd,necklace,998.66,0.29,92,3.56,4.32,2.01,4.86,20,4.01,3,10,
118,suzæn,needle,814.62,0.10,98,4.58,4.52,1.35,4.31,51,4.07,2,5,
119,bini,nose,879.87,0.70,81,4.42,4.68,1.91,2.86,159,4.46,2,4,
120,mohre,nut,1207.86,0.37,76,4.14,3.59,2.19,6.59,38,2.96,2,5,
121,?otormorq,ostrich,1346.88,0.19,86,3.60,3.14,2.87,7.11,2,3.42,3,9,
122,piyaz,onion,974.26,0.06,96,3.93,4.45,2.15,4.31,167,4.52,2,5,
123,?oqd,owl,879.65,0.04,97,4.22,3.20,2.81,6.54,17,3.43,1,4,
124,porteqal,orange,1014.68,0.10,93,4.03,4.67,1.76,3.60,45,4.58,3,8,
125,qælæmu,paintbrush,1006.48,0.38,90,4.11,3.62,1.86,6.59,0,3.33,3,6,
126,?ælvar,pants,711.70,0.00,100,4.33,4.83,1.69,3.12,69,4.64,2,6,
127,hulu,peach,1053.16,0.10,93,3.68,4.00,1.97,4.51,23,4.25,2,4,
128,tavus,peacock,886.46,0.00,100,4.28,3.34,2.92,6.33,17,3.66,2,5,
129,badamzæmini,peanut,1247.22,0.98,46,3.46,3.46,2.37,6.71,2,3.73,5,11,
130,golabi,pear,840.54,0.00,100,4.13,4.04,1.65,4.46,34,4.45,3,6,
131,?odkar,pen,925.06,0.88,81,4.27,4.66,2.11,5.10,168,4.66,2,6,
132,pængu?æn,penguin,956.19,0.04,97,4.27,3.10,2.61,6.79,10,3.67,3,8,
133,felfel dolme,pepper,1113.36,0.27,93,4.29,4.45,2.04,6.53,0,4.19,4,11,
134,piyano,piano,1105.78,0.17,87,4.38,3.47,3.07,8.17,53,3.96,3,6,
135,medad,pencil,757.58,0.24,96,4.69,4.77,1.51,3.47,32,4.72,2,5,
136,?ananas,pineapple,978.49,0.11,92,4.50,3.98,2.53,6.47,24,3.99,3,7,
137,pip,pipe,906.11,0.16,91,4.27,3.13,2.09,8.35,0,3.42,1,3,
138,parç,pitcher,1102.17,0.18,95,3.90,4.56,1.92,4.60,6,4.12,1,4,
139,?ænbordæst,pliers,1175.38,0.77,67,3.93,3.64,2.37,6.83,0,3.49,3,10,
140,qablæme,pot,1264.79,1.77,29,3.53,4.10,2.20,6.78,6,4.30,3,7,
141,sibzæmini,potato,1009.84,0.28,78,3.95,4.46,1.74,4.49,179,4.43,4,9,
142,?ærgu?,rabbit,828.93,0.00,100,4.38,3.80,2.30,4.36,42,4.03,2,6,
143,yæ?çal,refrigerator,790.62,0.00,100,4.38,4.71,1.99,3.82,92,4.48,2,6,
144,kærgædæn,rhinoceros,1095.02,0.29,78,4.08,2.66,3.04,7.32,9,3.06,3,8,
145,?ængo?tær,ring,1028.78,0.59,82,3.96,4.45,1.88,5.10,26,4.28,3,8,
146,?orus,rooster,805.30,0.00,100,4.52,4.04,2.56,4.00,28,4.18,2,5,
147,?ætke?,ruler,807.21,0.00,100,4.49,4.43,1.57,4.89,3,4.07,2,6,
148,qayeq,sailboat,1035.71,0.68,82,4.08,3.54,2.61,5.67,135,3.90,2,5,
149,næmækdan,saltshaker,812.63,0.85,72,4.29,4.55,1.94,4.40,1,4.24,3,8,
150,?ære,saw,827.89,0.00,100,4.25,3.67,2.08,5.95,15,3.58,2,4,
151,qeyçi,scissors,726.43,0.00,100,4.56,4.45,1.90,4.43,25,4.28,2,5,
152,piç,screw,958.74,0.07,95,4.36,3.92,2.16,5.96,84,3.64,1,3,
153,gusfænd,ship,1151.21,0.57,86,4.03,3.79,2.51,4.26,139,4.34,2,7,
154,pirahæn,shirt,1086.27,0.75,75,4.31,4.65,1.87,3.83,104,4.52,3,7,
155,kæf?,shoe,732.96,0.00,100,4.51,4.81,2.06,3.34,146,4.67,1,4,
156,damæn,skirt,843.89,0.00,100,4.13,4.46,1.88,4.27,278,4.45,2,5,
157,hælæzun,snail,868.76,0.00,100,4.33,3.40,2.55,6.14,9,3.42,3,6,
158,mar,snake,749.39,0.00,100,4.38,3.69,2.15,4.66,78,3.93,1,3,
159,?adæm bærfi,snowman,916.51,0.00,100,4.53,3.94,2.01,4.57,1,4.30,4,10,
160,?urab,sock,777.75,0.00,100,4.27,4.75,1.70,3.40,20,4.63,2,5,
161,?ænkæbut,spider,1153.44,0.14,90,3.91,3.58,2.49,5.62,37,3.43,3,8,
162,qerqere,spinning wheel,970.54,0.51,68,4.21,4.23,2.12,5.51,4,3.31,3,7,
163,qa?oq,spoon,721.71,0.00,100,4.56,4.77,1.58,3.00,79,4.61,2,5,
164,sæn?ab,squirrel,960.04,0.04,97,4.32,3.13,2.50,6.18,3,3.28,2,6,
165,setare,star,683.22,0.00,100,4.05,4.27,1.62,4.18,317,4.19,3,6,
166,çarpaye,stool,1045.06,0.52,86,4.06,3.97,2.17,5.18,13,3.93,3,7,
167,?o?aq gaz,stove,986.93,0.22,92,4.07,4.50,2.80,4.77,2,4.30,3,8,
168,tut færængi,strawberry,866.91,0.06,96,4.54,4.31,1.90,5.23,10,4.28,3,10,
169,çæmedan,suitcase,926.38,0.91,80,3.93,4.23,2.27,5.45,38,4.01,3,6,
170,?or?id,sun ,758.14,0.08,97,4.24,4.56,1.63,3.37,530,4.49,2,6,
171,qu,swan,988.46,0.33,73,4.18,3.40,2.47,6.34,12,3.46,1,2,
172,?akæt,sweater,1165.86,1.51,32,4.24,4.22,2.03,5.66,6,3.84,2,5,
173,piçgu?ti,screwdriver,1011.54,0.22,90,4.46,4.03,2.05,6.10,3,3.60,3,8,
